STT,Đạm (N) mg/kg,Lân (P) mg/kg,Kali (K) mg/kg,Thang đánh giá
88,130,40,160,Trung bình đến giàu
89,70,28,130,Trung bình
90,110,20,150,Trung bình
91,95,22,130,Trung bình đến giàu
92,90,35,160,Trung bình đến giàu
93,120,30,180,Trung bình đến giàu
94,130,45,180,Trung bình đến giàu
95,120,30,150,Trung bình đến giàu
96,80,22,110,Trung bình
97,70,5,100,"Thấp, nghèo"
98,130,38,160,Trung bình đến giàu
99,130,10,120,Trung bình
100,90,22,150,Trung bình đến giàu
101,80,30,140,Trung bình
102,70,15,90,"Thấp, nghèo"
103,85,30,120,Trung bình
104,95,40,140,Trung bình đến giàu
105,110,25,160,Trung bình đến giàu
106,130,28,160,Trung bình đến giàu
107,100,35,160,Trung bình đến giàu
108,120,30,140,Trung bình đến giàu
109,75,40,100,Trung bình đến giàu
110,120,38,160,Trung bình đến giàu
111,60,18,100,"Thấp, nghèo"
112,130,25,170,Trung bình đến giàu
113,60,35,80,"Thấp, nghèo"
114,130,45,170,Trung bình đến giàu
115,140,25,210,Trung bình đến giàu
116,90,35,160,Trung bình đến giàu
117,80,25,130,Trung bình
118,105,40,180,Trung bình đến giàu
119,95,40,140,Trung bình đến giàu
120,60,20,110,Trung bình
121,110,10,90,Trung bình
122,115,20,110,Trung bình
123,60,10,120,"Thấp, nghèo"
124,75,15,120,Trung bình
125,70,30,120,Trung bình
126,95,18,130,Trung bình
127,60,9,110,"Thấp, nghèo"
128,80,20,140,Trung bình
129,130,25,180,Trung bình đến giàu
130,120,35,190,Trung bình đến giàu
131,120,25,180,Trung bình đến giàu
132,100,38,150,Trung bình đến giàu
133,80,25,100,"Thấp, nghèo"
134,75,15,120,Trung bình
135,80,20,140,Trung bình
136,90,22,130,Trung bình
137,80,25,120,Trung bình
138,85,38,160,Trung bình đến giàu
139,120,32,150,Trung bình đến giàu
140,85,40,150,Trung bình đến giàu
141,50,10,100,"Thấp, nghèo"
142,85,25,120,Trung bình
143,130,45,180,Trung bình đến giàu
144,130,40,150,Trung bình đến giàu
145,110,45,200,Trung bình đến giàu
146,115,30,180,Trung bình đến giàu
147,90,18,140,Trung bình
148,110,45,170,Trung bình đến giàu
149,50,20,130,Trung bình
150,110,18,130,Trung bình
151,193,13,189,Trung bình đến giàu
152,138,10,96,"Thấp, nghèo"
153,143,17,209,Trung bình đến giàu
154,156,53,79,Trung bình đến giàu
155,112,13,220,Trung bình đến giàu
156,96,19,200,Trung bình
157,87,36,112,Trung bình
158,142,6,73,"Thấp, nghèo"
159,116,36,186,Trung bình đến giàu
160,97,7,52,"Thấp, nghèo"
161,62,10,57,"Thấp, nghèo"
162,149,33,132,Trung bình đến giàu
163,146,5,180,Trung bình
164,68,9,202,Trung bình
165,135,51,214,Rất giàu
166,99,47,154,Trung bình đến giàu
167,68,5,100,"Thấp, nghèo"
168,90,53,96,Trung bình
169,99,32,131,Trung bình
170,196,14,129,Trung bình
171,108,39,65,Trung bình
172,92,59,186,Trung bình đến giàu
173,62,38,148,Trung bình
174,195,14,225,Trung bình đến giàu
175,118,50,98,Trung bình
176,169,24,101,Trung bình đến giàu
177,161,47,212,Rất giàu
178,79,38,99,Trung bình
179,176,27,167,Trung bình đến giàu
180,151,17,60,Trung bình
181,102,57,74,Trung bình
182,165,52,226,Rất giàu
183,110,49,169,Trung bình đến giàu
184,145,40,225,Trung bình đến giàu
185,85,24,191,Trung bình đến giàu
186,120,56,85,Trung bình
187,167,8,157,Trung bình
188,72,31,195,Trung bình đến giàu
189,89,39,163,Trung bình đến giàu
190,171,5,59,Trung bình
191,117,22,208,Trung bình đến giàu
192,109,15,78,Trung bình
193,141,27,53,Trung bình
194,126,5,88,"Thấp, nghèo"
195,71,56,178,Trung bình đến giàu
196,171,7,100,Trung bình
197,166,21,224,Rất giàu
198,137,38,133,Trung bình đến giàu
199,79,45,130,Trung bình đến giàu
200,148,29,142,Trung bình đến giàu
201,78,10,63,"Thấp, nghèo"
202,83,20,69,"Thấp, nghèo"
203,80,50,148,Trung bình đến giàu
204,64,10,70,"Thấp, nghèo"
205,127,9,195,Trung bình
206,101,15,154,Trung bình
207,69,59,57,Trung bình
208,82,56,181,Trung bình đến giàu
209,136,31,161,Trung bình đến giàu
210,79,50,245,Trung bình đến giàu
211,124,37,124,Trung bình đến giàu
212,82,16,178,Trung bình
213,169,30,155,Trung bình đến giàu
214,119,25,165,Trung bình đến giàu
215,184,15,215,Trung bình đến giàu
216,61,10,190,Trung bình
217,104,8,112,Trung bình
218,195,30,70,Trung bình
219,147,7,65,"Thấp, nghèo"
220,125,27,157,Trung bình đến giàu
221,123,50,115,Trung bình đến giàu
222,107,6,210,Trung bình
223,123,58,92,Trung bình đến giàu
224,85,19,149,Trung bình
225,194,57,155,Rất giàu
226,68,6,185,Trung bình
227,81,20,174,Trung bình
228,162,5,75,Trung bình
229,118,58,86,Trung bình
230,143,11,204,Trung bình đến giàu
231,91,55,232,Rất giàu
232,141,17,143,Trung bình
233,160,47,202,Rất giàu
234,146,12,218,Trung bình đến giàu
235,139,47,195,Trung bình đến giàu
236,183,10,154,Trung bình
237,185,10,187,Trung bình
238,106,32,100,Trung bình
239,144,43,222,Rất giàu
240,79,6,203,Trung bình
241,79,57,154,Trung bình đến giàu
242,191,9,226,Trung bình đến giàu
243,72,31,250,Trung bình đến giàu
244,144,49,59,Trung bình đến giàu
245,118,8,237,Trung bình
246,113,30,238,Trung bình đến giàu
247,177,42,136,Trung bình đến giàu
248,178,45,152,Rất giàu
249,122,37,60,Trung bình
250,70,43,83,Trung bình
251,187,13,245,Trung bình đến giàu
252,108,10,74,"Thấp, nghèo"
253,158,23,186,Trung bình đến giàu
254,98,42,227,Rất giàu
255,136,16,69,Trung bình
256,177,26,175,Trung bình đến giàu
257,180,9,230,Trung bình đến giàu
258,174,13,70,Trung bình
259,151,10,147,Trung bình
260,107,10,187,Trung bình
261,92,6,77,"Thấp, nghèo"
262,159,49,221,Rất giàu
263,185,19,238,Trung bình đến giàu
264,152,10,201,Trung bình đến giàu
265,72,6,220,Trung bình
266,169,31,136,Trung bình đến giàu
267,184,60,231,Rất giàu
268,115,45,138,Trung bình đến giàu
269,83,33,131,Trung bình
270,187,5,169,Trung bình
271,181,36,240,Rất giàu
272,180,53,59,Trung bình đến giàu
273,165,52,55,Trung bình đến giàu
274,95,40,146,Trung bình
275,140,54,240,Rất giàu
276,163,16,87,Trung bình
277,138,15,166,Trung bình đến giàu
278,95,10,195,Trung bình
279,128,5,248,Trung bình đến giàu
280,156,57,170,Rất giàu
281,90,15,164,Trung bình
282,65,18,113,Trung bình
283,161,22,216,Rất giàu
284,77,36,103,Trung bình
285,74,56,182,Trung bình đến giàu
286,143,50,239,Rất giàu
287,190,60,165,Rất giàu
288,144,48,189,Trung bình đến giàu
289,131,7,95,"Thấp, nghèo"
290,68,14,72,"Thấp, nghèo"
291,188,23,238,Rất giàu
292,92,9,147,Trung bình
293,193,28,185,Trung bình đến giàu
294,103,14,181,Trung bình
295,161,49,232,Rất giàu
296,174,25,220,Rất giàu
297,130,22,236,Trung bình đến giàu
298,152,6,165,Trung bình
299,104,7,157,Trung bình
300,68,7,58,"Thấp, nghèo"
301,69,13,100,"Thấp, nghèo"
302,145,37,183,Trung bình đến giàu
303,120,18,61,Trung bình
304,134,17,171,Trung bình đến giàu
305,194,7,175,Trung bình
306,127,23,198,Trung bình đến giàu
307,158,6,236,Trung bình đến giàu
308,132,9,230,Trung bình đến giàu
309,151,48,244,Rất giàu
310,165,48,196,Rất giàu
311,87,33,204,Trung bình đến giàu
312,150,10,169,Trung bình
313,171,21,152,Trung bình đến giàu
314,100,5,233,Trung bình
315,163,45,199,Rất giàu
316,120,19,72,Trung bình
317,118,36,236,Trung bình đến giàu
318,68,10,248,Trung bình
319,104,54,216,Rất giàu
320,82,18,177,Trung bình
321,149,19,175,Trung bình đến giàu
322,176,29,53,Trung bình
323,133,19,55,Trung bình
324,86,7,121,"Thấp, nghèo"
325,136,55,177,Trung bình đến giàu
326,90,51,211,Trung bình đến giàu
327,99,33,85,Trung bình
328,90,6,166,Trung bình
329,78,30,137,Trung bình
330,121,31,226,Trung bình đến giàu
331,180,7,100,Trung bình
332,139,14,174,Trung bình đến giàu
333,143,57,85,Trung bình đến giàu
334,103,15,53,Trung bình
335,120,56,187,Trung bình đến giàu
336,120,49,143,Trung bình đến giàu
337,144,50,229,Rất giàu
338,68,56,243,Trung bình đến giàu
339,141,26,112,Trung bình đến giàu
340,60,8,72,"Thấp, nghèo"
341,197,52,74,Trung bình đến giàu
342,94,12,52,Trung bình
343,149,56,220,Rất giàu
344,142,54,154,Trung bình đến giàu
345,144,34,211,Trung bình đến giàu
346,152,18,140,Trung bình
347,186,10,237,Trung bình đến giàu
348,127,5,148,Trung bình
349,125,16,119,Trung bình
350,114,7,243,Trung bình
351,72,6,185,Trung bình
352,193,17,104,Trung bình
353,119,58,64,Trung bình
354,124,5,212,Trung bình đến giàu
355,102,41,195,Trung bình đến giàu
356,87,10,214,Trung bình
357,77,13,193,Trung bình
358,141,16,139,Trung bình
359,135,18,182,Trung bình đến giàu
360,77,44,158,Trung bình đến giàu
361,121,37,193,Trung bình đến giàu
362,146,51,105,Trung bình đến giàu
363,63,10,122,"Thấp, nghèo"
364,139,10,118,Trung bình
365,91,9,114,Trung bình
366,84,44,83,Trung bình
367,98,48,243,Rất giàu
368,182,7,244,Trung bình đến giàu
369,141,7,222,Trung bình đến giàu
370,124,20,140,Trung bình
371,186,5,218,Trung bình đến giàu
372,141,9,195,Trung bình
373,134,12,56,Trung bình
374,95,17,154,Trung bình
375,173,17,98,Trung bình
376,135,34,243,Trung bình đến giàu
377,125,18,210,Trung bình đến giàu
378,82,27,87,Trung bình
379,193,60,156,Rất giàu
380,189,18,173,Trung bình đến giàu
381,147,30,189,Trung bình đến giàu
382,184,6,158,Trung bình
383,81,36,239,Trung bình đến giàu
384,154,38,62,Trung bình
385,84,5,237,Trung bình
386,184,9,143,Trung bình
387,69,8,217,Trung bình
388,176,14,179,Trung bình đến giàu
389,160,10,102,Trung bình
390,99,54,138,Trung bình đến giàu
391,81,5,83,"Thấp, nghèo"
392,168,17,184,Trung bình đến giàu
393,86,9,56,"Thấp, nghèo"
394,99,41,97,Trung bình
395,114,54,216,Rất giàu
396,198,13,84,Trung bình
397,89,11,212,Trung bình đến giàu
398,146,20,183,Trung bình đến giàu
399,101,21,140,Trung bình
400,134,15,197,Trung bình đến giàu
